method,path,tags,summary,operationId,description
GET,/api/v1/catalog/category/goods/tree,03. 产品类目数据,获取授权机构下的物料类数据分类(树状结构),findGoodsCategoryPaged,
GET,/api/v1/catalog/category/service/tree,03. 产品类目数据,获取授权机构下的服务类项目分类(树状结构),findServiceCategoryTree,
GET,/api/v1/catalog/category/{id},03. 产品类目数据,获取指定ID分类节点 - 各类型通用,loadCategory,
PUT,/api/v1/catalog/category/{id},03. 产品类目数据,修改指定ID分类节点 - 各类型通用,modifyCategory,
DELETE,/api/v1/catalog/category/{id},03. 产品类目数据,删除指定ID分类节点 - 各类型通用,deleteCategory,
POST,/api/v1/catalog/product/clinic-sales-price/list,03. 产品类目数据,查询项目/商品下发,listProductClinicSalesPrice,
POST,/api/v1/catalog/product/clinic-sales-price/update,03. 产品类目数据,修改项目/商品下发,updateProductClinicSalesPrice,
GET,/api/v1/catalog/product/goods,03. 产品类目数据,获取授权机构下的物料类数据 - 耗材、药品、药妆等受库存管控条目,findGoodsPaged,
POST,/api/v1/catalog/product/goods,03. 产品类目数据,新建物料类数据,createGoods,
GET,/api/v1/catalog/product/goods/{id},03. 产品类目数据,获取授权机构下的物料类数据 - 耗材、药品、药妆等受库存管控条目,findGoodsPaged_1,
PUT,/api/v1/catalog/product/goods/{id},03. 产品类目数据,修改物料类数据,activeGoods,
PUT,/api/v1/catalog/product/goods/{id}/active,03. 产品类目数据,停用、启用物料类数据,activeGoods_1,
GET,/api/v1/catalog/product/service,03. 产品类目数据,获取授权机构下的服务类项目数据 - 服务项目,findServicePaged,
POST,/api/v1/catalog/product/service,03. 产品类目数据,新建服务项目数据,createService,
POST,/api/v1/catalog/product/service/addMaterial,03. 产品类目数据,添加项目的使用耗材,addCareServiceMaterial,
POST,/api/v1/catalog/product/service/addOperator,03. 产品类目数据,添加项目的操作人员,addCareServiceOperator,
POST,/api/v1/catalog/product/service/addStep,03. 产品类目数据,添加项目的操作步骤,addCareServiceStep,
POST,/api/v1/catalog/product/service/deleteMaterial,03. 产品类目数据,删除项目的使用耗材,deleteCareServiceMaterial,
POST,/api/v1/catalog/product/service/deleteOperator,03. 产品类目数据,删除项目的操作人员,deleteCareServiceOperator,
POST,/api/v1/catalog/product/service/deleteStep,03. 产品类目数据,删除项目的操作步骤,deleteCareServiceStep,
GET,/api/v1/catalog/product/service/findExecutionRole,03. 产品类目数据,查询操作人员职位,findExecutionRole,
GET,/api/v1/catalog/product/service/getOperationStepDictPageList,03. 产品类目数据,查询操作步骤,getOperationStepDictPageList,
GET,/api/v1/catalog/product/service/price-rule,03. 产品类目数据,获取授权机构下的服务类项目数据 - 服务项目价格规则,findServicePriceRule,
POST,/api/v1/catalog/product/service/price-rule/update,03. 产品类目数据,修改服务类项目价格规则,updateServicePriceRule,
POST,/api/v1/catalog/product/service/updateMaterial,03. 产品类目数据,修改项目的使用耗材,updateCareServiceMaterial,
POST,/api/v1/catalog/product/service/updateOperator,03. 产品类目数据,修改项目的操作人员,updateCareServiceOperator,
POST,/api/v1/catalog/product/service/updateStep,03. 产品类目数据,修改项目的操作步骤,updateCareServiceStep,
GET,/api/v1/catalog/product/service/{id},03. 产品类目数据,获取授权机构下的服务类项目数据 - 单个项目,loadServiceById,
PUT,/api/v1/catalog/product/service/{id},03. 产品类目数据,根据服务项目id更新服务项目,modifyService,
PUT,/api/v1/catalog/product/service/{id}/active,03. 产品类目数据,暂停/启用服务项目,activeService,
GET,/api/v1/workflow/appointment,04. 诊疗服务流程,获取授权机构下的预约数据 - 列表,findAppointmentPaged,
POST,/api/v1/workflow/appointment,04. 诊疗服务流程,创建预约,createAppointment_1,
POST,/api/v1/workflow/appointment/getAppointmentFreeList,04. 诊疗服务流程,获取预约空闲时间段,getAppointmentFreeList,
GET,/api/v1/workflow/appointment/{id},04. 诊疗服务流程,获取授权机构下的预约数据 - 单个,findAppointmentById,
PUT,/api/v1/workflow/appointment/{id}/cancel,04. 诊疗服务流程,取消预约,cancelAppointment,
PUT,/api/v1/workflow/appointment/{id}/confirm,04. 诊疗服务流程,确认预约,confirmAppointment,
PUT,/api/v1/workflow/appointment/{id}/partial,04. 诊疗服务流程,修改预约,modifyAppointment,
POST,/api/v1/workflow/archives/document/upload,04. 诊疗服务流程,上传档案文件,documentUpload,
GET,/api/v1/workflow/consultation,04. 诊疗服务流程,获取授权机构下的咨询数据,findConsultationPaged,
POST,/api/v1/workflow/consultation,04. 诊疗服务流程,创建咨询,createConsultation,
POST,/api/v1/workflow/modify/consultation,04. 诊疗服务流程,修改咨询,modifyConsultation,
GET,/api/v1/workflow/participant/status,04. 诊疗服务流程,获取授权机构下的现场人员空闲状态 - Experimental,listOperatorStatus,
GET,/api/v1/workflow/photoCompares,04. 诊疗服务流程,获取前后对比照数据,findPhotoCompares,
GET,/api/v1/workflow/schedule,04. 诊疗服务流程,分页获取授权机构下的排班数据,ListSchedule,
POST,/api/v1/workflow/schedule,04. 诊疗服务流程,在授权机构下创建排班,createSchedule,
GET,/api/v1/workflow/schedule-rule,04. 诊疗服务流程,分页获取授权机构下的班次信息,ListScheduleRule,
POST,/api/v1/workflow/schedule-rule,04. 诊疗服务流程,在授权机构下创建班次,createScheduleRule,
PUT,/api/v1/workflow/schedule-rule/{id},04. 诊疗服务流程,在授权机构下修改班次,updateScheduleRule,
POST,/api/v1/workflow/sign-in,04. 诊疗服务流程,创建签到,createSignIn,
GET,/api/v1/workflow/visit,04. 诊疗服务流程,获取授权机构下的到访数据,findVisitPaged,
POST,/api/v1/workflow/visit,04. 诊疗服务流程,创建到访,createAppointment,
GET,/api/v1/workflow/visit/customer-info,04. 诊疗服务流程,到访客户信息,todayVisitCustomerInfo,
GET,/api/v1/workflow/visit/{customerId}/operation/token,04. 诊疗服务流程,到访操作token,findOperationToken,
GET,/api/v1/crm/customer,05. 客户关系管理,获取授权机构下的客户数据,findCustomerPaged,
POST,/api/v1/crm/customer,05. 客户关系管理,在授权机构下创建新客户,createCustomer,
GET,/api/v1/crm/customer/findByMobile,05. 客户关系管理,根据手机号码查询客户数据,findByMobile,
POST,/api/v1/crm/customer/getOperatorLog,05. 客户关系管理,查询客户修改日志,getOperatorLog,
POST,/api/v1/crm/customer/gift/add,05. 客户关系管理,增值金调整,addGift,
GET,/api/v1/crm/customer/group,05. 客户关系管理,获取授权机构下的客户的分群标签,findCustomerGroupByIds,
GET,/api/v1/crm/customer/group-definition,05. 客户关系管理,获取授权机构下的客户分群分组定义 - 分页,findCustomerGroup,
POST,/api/v1/crm/customer/membershipLevel,05. 客户关系管理,修改客户会员等级,updateMembershipLevel,
GET,/api/v1/crm/customer/membershipLevel/list,05. 客户关系管理,获取会员等级目录,findMembershipLevel,
GET,/api/v1/crm/customer/merge-log,05. 客户关系管理,获取授权机构下的客户合并数据,findCustomerMergeLog,
GET,/api/v1/crm/customer/{id},05. 客户关系管理,根据客户Id获取授权机构下的客户数据,findCustomerById,
PUT,/api/v1/crm/customer/{id},05. 客户关系管理,在授权机构下修改客户,modifyCustomer,
DELETE,/api/v1/crm/customer/{id},05. 客户关系管理,在授权机构下删除客户,deleteCustomer,
GET,/api/v1/crm/customer/{id}/account,05. 客户关系管理,根据客户Id获取授权机构下的账户余额,findAccountOfCustomer,
POST,/api/v1/crm/customer/{id}/account/coupon,05. 客户关系管理,根据客户ID绑定优惠券 - 返回账户未启用券列表,addAccountCoupon,
GET,/api/v1/crm/customer/{id}/account/coupon/_list,05. 客户关系管理,根据客户ID查询券余,listAccountCoupon,
PUT,/api/v1/crm/customer/{id}/account/coupon/_unbind,05. 客户关系管理,根据客户ID解绑优惠券 - 返回账户未启用券列表,revokeAccountCoupon,
PUT,/api/v1/crm/customer/{id}/account/credit,05. 客户关系管理,根据客户ID进行积分增减操作,changeCredit,
GET,/api/v1/crm/customer/{id}/account/journal,05. 客户关系管理,根据客户Id获取授权机构下的账户余额变动数据,findAccountOfCustomer_1,
GET,/api/v1/crm/customer/{id}/careClass,05. 客户关系管理,获取授权机构下根据客户Id获取客户当日到访类型,findCustomerCareClass,
GET,/api/v1/crm/customer/{id}/expense/summary,05. 客户关系管理,根据客户ID获取客户汇总消费金额,queryCustomerExpenseSummary,
POST,/api/v1/crm/customer/{id}/tag,05. 客户关系管理,在授权机构下根据客户ID添加自定义标签,addCustomerTag,
DELETE,/api/v1/crm/customer/{id}/tag,05. 客户关系管理,在授权机构下根据客户ID删除标签,deleteCustomerTag,
GET,/api/v1/crm/customerDetail,05. 客户关系管理,根据客户Id获取授权机构下的客户简单数据,findCustomerSimpleDetailById,
GET,/api/v1/crm/customerList,05. 客户关系管理,获取授权机构下的客户列表数据,findCustomerList,
POST,/api/v1/account-item/balance/refund,06. 销售财务数据,储值金退款,accountRefund,
GET,/api/v1/account-item/card/detail,06. 销售财务数据,查询权益 - 按ID查询卡项权益详情,cardDetail,
GET,/api/v1/account-item/card/page,06. 销售财务数据,查询权益 - 按客户ID查询可用卡项,pageCard,
POST,/api/v1/account-item/card/redeem,06. 销售财务数据,卡项确认品项,accountItemRedeem,
POST,/api/v1/account-item/card/redeem-revoke,06. 销售财务数据,卡项作废确认品项,accountItemRedeemRevoke,
GET,/api/v1/account-item/card/redeemed/page,06. 销售财务数据,查询权益 - 支持查询卡项已兑换的单品权益,pageCardRedeemedItems,
GET,/api/v1/account-item/product-item/byId,06. 销售财务数据,查询权益 - 按ID查询单品权益,accountItemDetail,
POST,/api/v1/account-item/reward/adjust,06. 销售财务数据,增值金余额调整,rewardAdjust,
POST,/api/v1/billing/customer/transfer/product-item,06. 销售财务数据,操作客户转疗（自动同意转疗）,transferCustomerProductItem,
GET,/api/v1/billing/customer/{id}/esthetics/estimate-item,06. 销售财务数据,获取客户美学评估单特征,queryEstimateItemPage,
GET,/api/v1/billing/customer/{id}/execution-record,06. 销售财务数据,根据客户Id获取授权机构下的客户项目执行数据,findExecutionRecordOfCustomer,
GET,/api/v1/billing/customer/{id}/prepaid-order,06. 销售财务数据,根据客户Id获取授权机构下的客户充值订单数据,findPrepaidOrderOfCustomer,
GET,/api/v1/billing/customer/{id}/sales-order,06. 销售财务数据,根据客户Id获取授权机构下的客户销售订单数据,findSalesOrderOfCustomer,
GET,/api/v1/billing/customer/{id}/transfer/product-item,06. 销售财务数据,获取客户可转疗项目,findCustomerTransferProductItems,
GET,/api/v1/billing/esthetics/order-relation,06. 销售财务数据,获取订单与美学规划关联关系,queryEstimateItemOrderLineRelation,
PUT,/api/v1/billing/esthetics/order-relation,06. 销售财务数据,修改订单与美学规划关联关系,saveEstimateItemAndOrderLineRelation,
POST,/api/v1/billing/esthetics/plan,06. 销售财务数据,获取客户美学方案,queryEstimatePlanPage,
POST,/api/v1/billing/exchange/list-by-target-ids,06. 销售财务数据,换入订单ID查询换购记录,findByTargetOrderIds,
GET,/api/v1/billing/exchange/page,06. 销售财务数据,获取换购记录,page,
GET,/api/v1/billing/execution-item,06. 销售财务数据,获取授权机构下的可执行条目信息 - 订单中的项目条目,findOrderItemPaged,
GET,/api/v1/billing/execution-item/transfer,06. 销售财务数据,获取授权机构下的可执行条目转赠记录,findOrderItemPaged_1,
GET,/api/v1/billing/execution-record,06. 销售财务数据,获取授权机构下的客户项目执行数据,findExecutionRecordPaged,
POST,/api/v1/billing/execution-record,06. 销售财务数据,在授权机构下创建项目执行记录数据,createExecutionRecord,
PUT,/api/v1/billing/execution-record/cancel,06. 销售财务数据,作废执行记录,cancel,
POST,/api/v1/billing/execution-record/fulfillment/detail,06. 销售财务数据,查询执行记录的履约明细,fulfillmentDetail,
PUT,/api/v1/billing/execution-record/revoke,06. 销售财务数据,撤回执行记录,revoke,
GET,/api/v1/billing/execution-record/{id},06. 销售财务数据,获取授权机构下的客户项目执行数据,findExecutionRecord,
GET,/api/v1/billing/financial/billing-apportion,06. 销售财务数据,获取收退款分摊信息,paymentBillingApportion,
GET,/api/v1/billing/financial/refund-order-billing-apportion,06. 销售财务数据,获取退款订单分摊信息,refundOrderBillingApportion,
POST,/api/v1/billing/free-order,06. 销售财务数据,创建免单订单，创建后为支付完成，忽略所有审批流程,createFreeOrder,
POST,/api/v1/billing/order/performance-allocation,06. 销售财务数据,订单业绩分配,orderPerformanceAllocation,
POST,/api/v1/billing/order/refund,06. 销售财务数据,订单退款V2，仅支持原路退，忽略审批流程,orderRefundV2,
POST,/api/v1/billing/order/refund/v3,06. 销售财务数据,订单退款V3，支持统一退。忽略审批流程,orderRefundV3,
GET,/api/v1/billing/payment,06. 销售财务数据,获取授权机构下的收银摘要数据 - 收银摘要列表,findPaymentPaged,
GET,/api/v1/billing/payment-method,06. 销售财务数据,获取授权机构下的支付方式,findPaymentMethodAll,
POST,/api/v1/billing/payment/discard,06. 销售财务数据,作废收款单,discardPayment,
POST,/api/v1/billing/payment/list-signature,06. 销售财务数据,获取支付的签名图片（包含无有效签名结果）,listBillingSignature,
GET,/api/v1/billing/payment/{id},06. 销售财务数据,获取授权机构下的收银摘要数据 - 收银详细信息,findPaymentById,
POST,/api/v1/billing/prepaid-order,06. 销售财务数据,创建储值金订单，创建后为待支付订单，忽略所有审批流程,createPrepaidOrder,
GET,/api/v1/billing/refund,06. 销售财务数据,获取授权机构下的退款数据 - 退款列表,findRefund,
GET,/api/v1/billing/refund/{id},06. 销售财务数据,获取授权机构下的退款数据 - 单个退款,findRefundById,
GET,/api/v1/billing/sales-order,06. 销售财务数据,获取授权机构下的销售订单摘要数据 - 订单摘要信息,findOrderPaged,
POST,/api/v1/billing/sales-order,06. 销售财务数据,创建销售订单，创建后为待支付订单，忽略所有审批流程,createOrder_1,
POST,/api/v1/billing/sales-order/list-invoices,06. 销售财务数据,根据订单ID获取销售订单发票明细,findInvoiceByOrderId,
GET,/api/v1/billing/sales-order/{id},06. 销售财务数据,根据订单ID获取销售订单详细数据 - 订单详细信息,findOrderById,
DELETE,/api/v1/billing/sales-order/{id},06. 销售财务数据,销售订单废弃，未支付订单可废弃，废弃后订单不可操作,cancelOrder,
POST,/api/v1/billing/sales-order/{id}/payment,06. 销售财务数据,销售订单支付，支付后为已支付订单，忽略所有审批流程,payOrder,
POST,/api/v1/billing/sales-order/{id}/payment/by-line,06. 销售财务数据,销售订单分行支付，支付后为已支付订单，忽略所有审批流程,payOrderByLine,
GET,/api/v1/billing/sales-order/{id}/refund,06. 销售财务数据,根据订单ID获取销售订单退款详细数据 - 订单退款详细信息,findRefundByOrderId,
POST,/api/v1/billing/service-fee/order,06. 销售财务数据,根据订单ID查询服务费,findByOrderId,
POST,/api/v1/billing/service-fee/page,06. 销售财务数据,分页查询服务费,pageServiceFee,
GET,/api/v1/billing/transfer,06. 销售财务数据,获取授权机构下转诊/转疗数据,findPagedTransferRecords,
GET,/api/v1/market/card,07. 市场营销集成,查询授权机构下的卡项信息,findCardPaged,
GET,/api/v1/market/card/prompt,07. 市场营销集成,根据条件查询可用卡项信息,findUsableCardPaged,
GET,/api/v1/market/card/{id},07. 市场营销集成,精确获取授权机构下的卡项信息,loadCard,
GET,/api/v1/market/coupon,07. 市场营销集成,获取授权机构下的优惠券信息,findCouponPaged,
GET,/api/v1/market/coupon/{id},07. 市场营销集成,精确获取授权机构下的优惠券信息,loadCoupon,
GET,/api/v1/market/promotion,07. 市场营销集成,获取授权机构下的促销信息,findPromotionPaged,
POST,/api/v1/market/promotion/active,07. 市场营销集成,促销启用/停用,activePromotion,
GET,/api/v1/market/promotion/{id},07. 市场营销集成,根据ID获取促销信息,loadPromotion,
GET,/api/v1/inventory/change-type/{bizType},08. 库存物料集成,"获取授权机构下出/入库类别，bizType参数: stock-in(入库), stock-out(出库)",findChangeType,
GET,/api/v1/inventory/outbound/all,08. 库存物料集成,获取提货单信息 - 翻页,getPagedOutboundRequisition,
GET,/api/v1/inventory/purchaseOrder,08. 库存物料集成,物资采购订单,purchaseOrder,
GET,/api/v1/inventory/stock-item,08. 库存物料集成,获取授权机构下的所有库存条目信息,findStockItemPaged,
GET,/api/v1/inventory/stock-item/stock-in,08. 库存物料集成,物料入库记录,findStockInRecords,
POST,/api/v1/inventory/stock-item/stock-in,08. 库存物料集成,物料入库操作,stockInItem,
DELETE,/api/v1/inventory/stock-item/stock-in/{id},08. 库存物料集成,作废物料入库记录,revokeStockIn,
GET,/api/v1/inventory/stock-item/stock-out,08. 库存物料集成,物料出库记录,findStockOutRecords,
POST,/api/v1/inventory/stock-item/stock-out,08. 库存物料集成,物料出库操作,stockOutItem,
DELETE,/api/v1/inventory/stock-item/stock-out/{id},08. 库存物料集成,作废物料出库记录,revokeStockOut,
GET,/api/v1/inventory/stock-item/transfer,08. 库存物料集成,物料调拨记录,findStockTransferRecords,
POST,/api/v1/inventory/stock-item/transfer,08. 库存物料集成,物料库存调拨,transferItem,
DELETE,/api/v1/inventory/stock-item/transfer/{id},08. 库存物料集成,作废物料调拨记录,revokeStockTransfer,
GET,/api/v1/inventory/supplier,08. 库存物料集成,获取供应商信息 - 翻页,pageSupplier,
GET,/api/v1/inventory/warehouse,08. 库存物料集成,获取授权机构下的所有库房信息,listAllWarehouse,
GET,/api/v1/event/event-history,10. 业务事件订阅,获取历史事件分页列表,pageEventHistory,
GET,/api/v1/event/event-history/single-entity,10. 业务事件订阅,获取特定业务实体对应的历史事件列表,pageEventHistory_1,
GET,/api/v1/event/subscribe,10. 业务事件订阅,获取当前订阅列表,subscribeTopics_1,
POST,/api/v1/event/subscribe,10. 业务事件订阅,订阅系统业务事件主题，结果返回当前订阅,subscribeTopics,
GET,/api/v1/event/topic,10. 业务事件订阅,获取当前系统支持的事件主题,listSupportedTopics,
POST,/api/v1/event/unsubscribe/{id},10. 业务事件订阅,取消订阅系统业务事件主题,unsubscribeTopics,
POST,/api/v1/ehr/care-plan,11. 电子健康档案,在授权机构下的创建患者诊疗计划,createCarePlan,
GET,/api/v1/ehr/prescription,11. 电子健康档案,获取授权机构下的处方数据,findPrescriptionPaged,
GET,/api/v1/ehr/prescriptionNew,11. 电子健康档案,获取授权机构下的新版本医嘱服务的处方数据,findPrescriptionNewPaged,
GET,/api/v1/ehr/queryAdvicesOrderList,11. 电子健康档案,获取授权机构下医嘱服务的医嘱数据,queryAdvicesOrderList,
GET,/api/v1/ehr/queryAdvicesOrderListByPatientId,11. 电子健康档案,获取授权机构下客户的医嘱服务的医嘱数据,queryAdvicesOrderListByPatientId,
GET,/api/v1/ehr/queryMedicalRecordDetail,11. 电子健康档案,获取授权机构下医嘱服务的病历数据明细,queryMedicalRecordDetail,
GET,/api/v1/ehr/queryMedicalRecordList,11. 电子健康档案,获取授权机构下医嘱服务的病历数据,queryMedicalRecordList,
GET,/api/v1/ehr/queryMedicalRecordListByPatientId,11. 电子健康档案,获取授权机构下客户的医嘱服务的病历数据,queryMedicalRecordListByPatientId,
POST,/api/v1/integration/yunxi/create-order,12. 云晰系统集成,多品项开单，按品项拆分多个订单，成功后为已支付订单，忽略所有审批流程,createOrder,
POST,/api/v1/integration/yunxi/fulfillment,12. 云晰系统集成,单订单（单品项）核销状态同步,fulfillment,
POST,/api/v1/integration/yunxi/refund,12. 云晰系统集成,单订单（单品项）全部或部分退款,refund,
GET,/api/v1/analytic/cash/performance/page,X1. 业务报表数据,查询员工销售业绩数据,findCashPerformancePage,
GET,/api/v1/analytic/execution/performance/page,X1. 业务报表数据,查询员工执行业绩数据,findExecutionPerformancePage,
GET,/api/v1/analytic/financial/accountDealing/page,X1. 业务报表数据,查询往来账数据,findPage,
POST,/api/v1/scrm/proxy,X2. SCRM集成服务,scrm服务代理,proxy,
GET,/api/v1/scrm/wechat-fan,X2. SCRM集成服务,查询授权机构下的微信公众号粉丝,queryWechatBindings,
POST,/api/v1/scrm/wechat-fan/bind,X2. SCRM集成服务,在授权机构下绑定微信公众号粉丝,createWechatFanBinding,
